ItemID,Interaction
6177,11199.0
3899,10118.0
3473,10109.0
6214,9541.0
8635,9378.0
17330,8914.0
16365,8520.0
15119,8505.0
5273,8477.0
14181,8289.0
14358,8287.0
16846,8287.0
10865,8237.0
2665,8173.0
13134,8066.0
15778,7929.0
5925,7810.0
13914,7502.0
13229,7462.0
6975,7424.0
3768,7423.0
1551,7418.0
1259,7382.0
1941,7349.0
14868,7233.0
1137,7188.0
640,7127.0
8207,6991.0
4582,6952.0
16364,6907.0
17364,6855.0
5403,6837.0
3200,6785.0
17294,6751.0
13410,6717.0
6011,6690.0
14400,6688.0
6652,6681.0
12186,6668.0
16791,6568.0
8502,6567.0
3942,6546.0
249,6488.0
16486,6477.0
1792,6460.0
3829,6448.0
9871,6412.0
1614,6369.0
9131,6337.0
3889,6307.0
17135,6294.0
5299,6251.0
6905,6242.0
13032,6221.0
13178,6177.0
7295,6128.0
9441,6113.0
17022,6051.0
12901,6048.0
5424,5959.0
4853,5957.0
17748,5933.0
12752,5893.0
10370,5879.0
2886,5874.0
5742,5853.0
12457,5846.0
10295,5843.0
4088,5767.0
2152,5749.0
17584,5743.0
16012,5740.0
12390,5710.0
10562,5689.0
17936,5615.0
4204,5609.0
11359,5600.0
5324,5591.0
2772,5583.0
3619,5530.0
15750,5526.0
1619,5499.0
940,5430.0
5640,5404.0
13725,5363.0
8651,5346.0
4292,5338.0
14917,5256.0
8567,5222.0
16070,5222.0
13318,5164.0
16624,5136.0
7716,5131.0
4078,5099.0
6589,5090.0
17356,5088.0
14781,5087.0
512,5042.0
15181,5030.0
13638,5007.0
5974,4988.0
6782,4977.0
8326,4971.0
17526,4958.0
12943,4954.0
13691,4872.0
5605,4871.0
8448,4819.0
7309,4808.0
15996,4786.0
14078,4775.0
11339,4763.0
12492,4757.0
14266,4754.0
17388,4751.0
1208,4743.0
12707,4713.0
2756,4710.0
1515,4648.0
7486,4627.0
7744,4605.0
13387,4585.0
17416,4582.0
16808,4565.0
3569,4562.0
1386,4533.0
9776,4518.0
6873,4509.0
9322,4441.0
4607,4434.0
1885,4433.0
11342,4432.0
241,4415.0
17961,4398.0
9610,4350.0
8194,4327.0
7407,4311.0
2387,4294.0
14509,4291.0
16946,4269.0
14536,4256.0
985,4252.0
13443,4235.0
803,4189.0
9744,4185.0
9527,4167.0
15868,4127.0
8455,4077.0
15683,4077.0
14996,4076.0
16614,4073.0
13644,4064.0
15969,4062.0
12172,4057.0
1533,4043.0
14485,4032.0
17309,4014.0
14229,4013.0
11481,4008.0
14093,4001.0
10954,3999.0
6476,3997.0
5751,3977.0
6961,3966.0
13963,3963.0
15064,3958.0
13981,3952.0
17788,3944.0
15469,3939.0
14213,3908.0
17462,3890.0
17666,3882.0
955,3866.0
16332,3863.0
3869,3862.0
7412,3861.0
16021,3850.0
2748,3818.0
6670,3814.0
6306,3802.0
5951,3797.0
8011,3780.0
17610,3779.0
8936,3763.0
12663,3751.0
16598,3739.0
9619,3735.0
6724,3717.0
11491,3711.0
840,3708.0
15117,3705.0
10027,3700.0
6431,3696.0
1846,3684.0
8037,3683.0
2243,3681.0
17830,3681.0
5628,3680.0
17520,3661.0
10843,3654.0
7870,3648.0
11836,3646.0
78,3643.0
8747,3640.0
12617,3632.0
7224,3620.0
10173,3610.0
10132,3595.0
17140,3579.0
4293,3548.0
8573,3546.0
7973,3546.0
5221,3531.0
7983,3522.0
17943,3520.0
12028,3498.0
12311,3495.0
1044,3483.0
13465,3471.0
2851,3402.0
1653,3397.0
287,3394.0
17882,3387.0
8622,3359.0
16353,3354.0
2179,3344.0
16494,3334.0
2126,3324.0
1836,3311.0
11038,3309.0
2456,3299.0
13549,3297.0
16919,3285.0
3558,3285.0
12378,3266.0
3402,3265.0
1581,3264.0
15082,3238.0
11844,3237.0
14396,3233.0
10914,3215.0
11289,3215.0
12015,3213.0
103,3212.0
2680,3210.0
13584,3209.0
15626,3205.0
6989,3186.0
10316,3185.0
12774,3179.0
5186,3177.0
3433,3175.0
9320,3171.0
4721,3167.0
5963,3141.0
8247,3121.0
11175,3107.0
8318,3058.0
15386,3057.0
10095,3053.0
2055,3016.0
4645,3014.0
6933,3004.0
53,3000.0
15583,2995.0
16549,2990.0
11702,2990.0
1267,2984.0
13716,2983.0
2746,2982.0
11776,2982.0
14627,2945.0
4865,2934.0
17670,2922.0
15674,2913.0
17284,2905.0
8742,2899.0
15398,2898.0
16170,2894.0
17411,2891.0
3955,2874.0
7760,2869.0
3347,2864.0
12999,2862.0
6597,2862.0
6197,2854.0
16162,2852.0
16291,2830.0
12344,2822.0
17,2819.0
739,2812.0
13887,2798.0
13971,2797.0
7099,2790.0
6157,2783.0
6118,2757.0
10746,2757.0
10026,2746.0
11662,2734.0
9145,2732.0
14095,2730.0
392,2729.0
15551,2720.0
14255,2705.0
16359,2704.0
2486,2694.0
9698,2686.0
890,2685.0
2207,2683.0
7763,2682.0
15756,2661.0
1605,2660.0
4468,2657.0
1178,2656.0
17660,2652.0
3035,2640.0
5433,2638.0
17574,2631.0
1005,2627.0
4162,2620.0
5577,2614.0
5962,2613.0
14440,2610.0
13563,2608.0
17966,2599.0
11553,2593.0
4801,2589.0
3315,2589.0
15436,2588.0
765,2578.0
14814,2571.0
13373,2566.0
4093,2548.0
3847,2533.0
8371,2527.0
3579,2526.0
7234,2524.0
99,2524.0
3130,2522.0
12281,2518.0
10118,2518.0
15514,2512.0
15735,2504.0
16751,2500.0
17985,2494.0
1102,2491.0
6491,2491.0
6035,2489.0
12794,2487.0
15800,2482.0
2545,2481.0
11119,2480.0
14298,2479.0
3910,2474.0
13941,2471.0
7867,2470.0
12975,2470.0
9373,2470.0
7975,2469.0
10985,2464.0
12939,2462.0
50,2460.0
552,2447.0
12764,2447.0
12016,2446.0
13295,2445.0
13471,2440.0
9939,2440.0
11325,2437.0
15863,2435.0
12792,2435.0
3822,2422.0
9399,2422.0
13585,2419.0
3721,2418.0
2182,2416.0
9250,2413.0
14938,2410.0
6929,2408.0
16558,2388.0
14873,2385.0
5460,2380.0
10491,2376.0
17297,2376.0
16131,2370.0
13031,2369.0
12530,2369.0
9847,2362.0
14617,2360.0
9973,2359.0
14362,2358.0
4656,2355.0
17527,2347.0
966,2346.0
16562,2345.0
638,2344.0
5885,2336.0
14462,2335.0
6676,2334.0
